trait_Zodiac,token_id,trait_Nose,trait_Eyes,trait_Body,trait_Head,trait_Mouth,trait_Sign,trait_Matching Set,trait_Totem,rarity_score
Mapcross,2561,Plastered,Robo,Doctor,Babylon,Anus,Sign,-1,-1,441.0344311560454
Cockroach,1419,Beavis,Ping,Cuted,Gman,Anus,Sign,-1,-1,440.7204417859767
Hoock,625,Hole,Rage,Boobs,Bra,Smoke,Sign,-1,-1,438.4835976508344
Poisoned,3804,Plaster,Ping,Chicken,Gman,Texas,Sign,-1,-1,437.5840741927764
Hoock,120,Devil,Anuses,VDV,Buddha,Smoke,Sign,-1,-1,437.23902777243603
Hoock,2101,Ruffo,Dots,Trash,Bra,Chappy,Sign,-1,-1,437.20209926294285
Overconsume,2343,David,Gentlemen,Chicken,Nipple,Orc,Sign,-1,-1,436.6299540932835
Worm,5836,Alex,Plasted,Hooligan,Bra,Poker,Sign,-1,-1,436.0796071236461
Poisoned,6608,Booger,Anuses,Blooded,Cap,Texas,Sign,-1,-1,436.05816613787283
Cockroach,3051,Alex,Sleepy,Chicken,Hugo,Pierced,Sign,-1,-1,435.95055128542504
Oldporn,6877,Devil,Out,Boned,Fishman,Vampire,Sign,-1,-1,433.82853883881836
Mapcross,5297,Teenager,Feelings,Chicken,Bold,Teethy,Sign,-1,-1,433.23085348006015
Nail,1979,Beated,Sporty,Cuted,Fishman,Rolling stone,Sign,-1,-1,432.2950551968733
Hoock,5804,Sticked,Wide,Haminguay,Beaten,Anus,Sign,-1,-1,431.65420638806245
Oldporn,4498,Rat,Pirato,Chicken,Cap,Ugly,Sign,-1,-1,430.2590497271978
Worm,6602,Hairy,Cry,Mario,Bra,Chappy,Sign,-1,-1,429.7494889398265
Therapist,708,Bigppig,Anuses,VDV,Goblin,Ugly,Sign,-1,-1,429.7248673394311
Cockroach,1717,Plastered,Anuses,Magnum,Cap,Scar,Sign,-1,-1,429.33521978563425
Hoock,2544,Jerry,Shop,Hoodie,Robot,Lui,Sign,-1,-1,429.0675429875712
Deadcop,4260,Anus,Fu,Skeleton,Goblin,Butthead,Sign,-1,-1,428.9838124975555
Cockroach,3347,Plaster,Anuses,Cuted,Buddha,Hellraiser,Sign,-1,-1,428.82669487475414
Therapist,405,Sticked,Wide,Chicken,Sailor,Rolling stone,Sign,-1,-1,428.53126106095044
